Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dennis Schröder,36:19,.308,.308,.385,.000,7.1,12.3,9.9,25.2,2.7,0.0,27.8,21.0,73,113,-10.2
Anthony Davis,34:11,.541,.500,.211,.158,3.8,32.7,19.3,14.3,0.0,13.2,9.0,27.7,111,105,3.7
LeBron James,31:51,.563,.542,.417,.417,4.1,24.5,15.1,32.0,3.0,2.8,26.0,25.6,100,107,2.5
Kentavious Caldwell-Pope,31:17,.338,.250,.625,.250,0.0,0.0,0.0,7.9,4.6,0.0,0.0,12.0,92,112,-3.5
Andre Drummond,24:25,.666,.636,.000,.364,21.3,13.7,17.2,0.0,0.0,7.4,13.6,25.6,123,114,-2.1
Kyle Kuzma,21:38,1.000,1.000,.000,.000,0.0,10.3,5.5,11.2,0.0,12.6,50.0,3.9,113,112,0.2
Ben McLemore,14:34,.857,.857,1.000,.000,0.0,15.3,8.2,0.0,0.0,0.0,30.0,29.1,99,118,3.5
Montrezl Harrell,14:00,.678,.750,.000,1.500,18.5,8.0,12.9,0.0,3.5,6.5,13.1,23.1,123,108,5.0
Markieff Morris,13:49,.436,.333,.333,.333,0.0,8.1,4.3,9.0,3.5,0.0,0.0,10.6,112,112,-0.9
Talen Horton-Tucker,9:59,1.000,1.000,.000,.000,0.0,0.0,0.0,34.9,0.0,0.0,40.0,21.2,114,123,-1.8
Marc Gasol,7:57,1.250,1.250,.500,.000,16.3,28.1,22.6,0.0,0.0,0.0,0.0,10.7,242,115,14.1
