Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,29:09,8,12,.667,4,6,.667,0,0,,1,2,3,3,0,3,1,1,20,+38
LeBron James,26:12,6,13,.462,1,5,.200,5,7,.714,0,9,9,5,1,0,4,1,18,+16
Dennis Schröder,25:14,5,10,.500,0,3,.000,1,1,1.000,0,4,4,4,1,0,3,3,11,+35
Kentavious Caldwell-Pope,23:14,3,3,1.000,0,0,,2,3,.667,0,2,2,2,1,0,0,1,8,+29
Marc Gasol,20:39,4,4,1.000,3,3,1.000,1,1,1.000,2,5,7,8,0,4,3,2,12,+24
Talen Horton-Tucker,20:48,4,12,.333,2,5,.400,2,2,1.000,0,2,2,3,2,1,0,2,12,+5
Montrezl Harrell,19:41,6,10,.600,0,1,.000,0,0,,0,1,1,2,1,1,1,2,12,+12
Wesley Matthews,17:53,2,4,.500,0,2,.000,0,1,.000,0,1,1,2,0,1,1,1,4,+16
Markieff Morris,15:06,3,7,.429,1,4,.250,0,0,,1,5,6,1,0,2,1,3,7,+1
Alex Caruso,10:31,3,4,.750,1,2,.500,0,0,,0,2,2,0,0,0,0,1,7,+4
Quinn Cook,8:33,2,5,.400,0,3,.000,1,1,1.000,0,1,1,2,0,0,0,0,5,0
Alfonzo McKinnie,7:40,3,3,1.000,0,0,,2,2,1.000,1,1,2,0,0,0,1,1,8,0
Jared Dudley,7:40,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,3,0
Kostas Antetokounmpo,7:40,0,2,.000,0,0,,0,0,,0,4,4,0,0,2,2,1,0,0
