Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
LeBron James,35:13,.516,.500,.130,.217,0.0,14.5,7.9,35.2,1.4,2.2,7.4,34.4,112,106,1.9
Dennis Schröder,33:47,.700,.700,.333,.000,3.6,9.1,6.6,17.1,1.4,0.0,25.0,26.4,108,109,-0.3
Anthony Davis,31:37,.630,.600,.133,.133,3.9,22.6,14.1,14.1,0.0,4.8,5.9,23.8,128,105,3.4
Kentavious Caldwell-Pope,26:23,.850,.800,.600,.400,0.0,7.7,4.2,9.0,1.8,0.0,0.0,9.9,177,108,4.4
Marc Gasol,20:33,1.025,1.000,.000,.500,6.0,19.9,13.6,11.3,0.0,0.0,62.1,14.0,89,110,-5.3
Kyle Kuzma,24:09,.381,.357,.571,.286,0.0,25.4,13.9,18.9,2.0,0.0,20.2,18.2,84,105,-3.4
Montrezl Harrell,23:24,.587,.400,.000,1.600,15.8,26.2,21.5,4.9,0.0,0.0,19.0,20.0,117,109,-5.2
Wesley Matthews,22:23,1.500,1.500,1.000,.000,5.5,4.6,5.0,0.0,0.0,0.0,0.0,11.9,290,113,19.5
Markieff Morris,19:23,.333,.333,.667,.000,0.0,31.6,17.3,5.7,0.0,0.0,25.0,9.2,64,108,-7.4
Jared Dudley,1:02,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,-4.8
Quinn Cook,1:02,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1,300,114,87.1
Alfonzo McKinnie,1:02,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,-6.4
