Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Talen Horton-Tucker,30:15,.333,.333,.417,.000,0.0,16.9,8.1,27.1,0.0,0.0,20.0,22.1,69,126,-8.4
LeBron James,27:49,.625,.577,.385,.385,0.0,14.7,7.0,31.5,1.9,0.0,20.8,30.7,105,123,5.4
Markieff Morris,27:32,.510,.500,.100,.400,17.1,14.8,16.0,6.9,0.0,0.0,7.8,20.6,111,127,-1.3
Kentavious Caldwell-Pope,24:26,.370,.200,.800,.800,3.9,8.4,6.0,6.1,0.0,0.0,12.9,14.1,82,130,-9.9
Marc Gasol,18:37,.571,.571,.714,.000,0.0,11.0,5.3,19.6,2.8,6.6,12.5,19.1,107,119,7.5
Kyle Kuzma,25:05,.357,.357,.429,.000,3.8,24.4,13.7,6.3,4.1,4.9,22.2,16.0,66,111,-2.5
Montrezl Harrell,22:24,.601,.583,.000,.250,8.4,18.2,13.1,0.0,0.0,5.5,0.0,26.5,125,123,7.7
Wesley Matthews,16:37,.375,.375,1.000,.000,0.0,0.0,0.0,18.6,3.1,0.0,0.0,10.7,99,125,-1.5
Alex Caruso,16:21,.169,.125,.375,.250,5.8,0.0,3.0,0.0,0.0,7.5,0.0,24.2,46,129,-16.6
Jared Dudley,13:41,.750,.750,1.000,.000,13.8,14.9,14.3,11.5,0.0,0.0,33.3,9.8,119,127,-2.0
Alfonzo McKinnie,6:59,.333,.333,.333,.000,0.0,29.2,14.0,0.0,0.0,0.0,0.0,19.1,71,121,-11.2
Devontae Cacok,5:07,1.000,1.000,.000,.000,0.0,20.0,9.6,0.0,0.0,0.0,0.0,17.4,200,125,14.2
Kostas Antetokounmpo,5:07,.568,,,,0.0,20.0,9.6,0.0,0.0,0.0,53.2,16.4,53,125,-13.3
