Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,35:34,11,21,.524,2,5,.400,4,8,.500,1,10,11,7,4,3,2,1,28,+9
Dennis Schröder,31:33,6,14,.429,1,2,.500,9,9,1.000,1,2,3,2,1,0,2,4,22,+1
Kentavious Caldwell-Pope,24:35,2,5,.400,1,3,.333,0,0,,1,0,1,2,1,0,1,1,5,+3
Markieff Morris,22:01,2,8,.250,0,4,.000,0,1,.000,1,3,4,1,1,0,1,3,4,-9
Marc Gasol,17:17,2,7,.286,1,5,.200,3,4,.750,1,1,2,2,0,1,0,3,8,-9
Alex Caruso,30:29,4,10,.400,2,5,.400,0,0,,0,6,6,2,2,0,0,4,10,+11
Montrezl Harrell,30:00,7,12,.583,0,0,,3,4,.750,5,4,9,2,0,1,0,1,17,+22
Kyle Kuzma,23:29,1,5,.200,0,1,.000,2,2,1.000,5,6,11,2,0,0,2,3,4,+5
Talen Horton-Tucker,16:28,2,5,.400,0,1,.000,0,0,,0,5,5,4,0,2,0,2,4,+7
Wesley Matthews,8:34,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,1,0,+5
