Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dennis Schröder,34:53,.368,.350,.300,.200,0.0,13.2,7.5,23.0,2.6,5.6,0.0,12.7,108,96,2.1
LeBron James,30:21,.510,.500,.400,.400,4.0,18.2,12.0,31.7,1.5,3.2,10.2,26.4,111,98,3.0
Anthony Davis,29:56,.823,.750,.083,.833,4.0,9.3,7.0,5.1,0.0,9.8,10.9,25.1,150,101,8.5
Marc Gasol,24:39,.466,.417,.333,.167,0.0,26.2,14.8,9.2,0.0,0.0,23.7,14.0,83,100,-7.9
Kentavious Caldwell-Pope,22:20,.389,.389,.444,.000,5.4,12.4,9.3,16.3,4.1,0.0,18.2,20.1,83,96,-3.6
Kyle Kuzma,23:37,.542,.542,.667,.000,0.0,7.8,4.4,5.7,0.0,4.1,20.0,25.9,86,105,-4.5
Montrezl Harrell,23:15,.673,.636,.000,.182,10.3,23.8,18.0,0.0,2.0,4.2,14.4,24.4,117,94,0.5
Alex Caruso,21:30,.255,.200,.200,.400,11.2,8.6,9.7,20.4,6.4,0.0,0.0,11.2,104,92,2.7
Talen Horton-Tucker,20:32,1.007,1.000,.375,.125,11.7,13.5,12.7,23.7,8.9,0.0,19.2,20.8,158,84,22.1
Quinn Cook,3:02,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,300,110,23.5
Alfonzo McKinnie,3:02,.500,.500,.000,.000,39.6,30.4,34.4,0.0,0.0,0.0,0.0,26.9,122,99,1.0
Markieff Morris,2:53,,,,,0.0,32.0,18.1,0.0,0.0,0.0,100.0,14.2,0,97,-24.2
