Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,28:30,6,16,.375,0,2,.000,5,8,.625,0,11,11,6,2,0,6,1,17,+9
Anthony Davis,28:21,14,21,.667,2,3,.667,7,9,.778,1,5,6,3,2,1,1,3,37,+5
Dennis Schröder,25:34,3,8,.375,0,2,.000,3,3,1.000,1,2,3,4,0,0,3,2,9,+12
Kentavious Caldwell-Pope,22:54,2,4,.500,1,3,.333,0,0,,0,4,4,1,1,0,1,2,5,+13
Marc Gasol,18:59,0,2,.000,0,2,.000,0,0,,0,4,4,1,0,3,0,0,0,+11
Montrezl Harrell,29:01,3,6,.500,0,0,,4,4,1.000,1,4,5,2,0,0,3,5,10,0
Kyle Kuzma,22:34,2,7,.286,0,3,.000,0,0,,1,4,5,1,0,0,1,2,4,+9
Talen Horton-Tucker,21:12,3,6,.500,0,0,,4,4,1.000,0,2,2,0,1,0,2,2,10,+3
Wesley Matthews,18:41,1,3,.333,0,2,.000,2,3,.667,0,0,0,0,1,0,0,0,4,+8
Alex Caruso,18:26,1,5,.200,1,2,.500,0,0,,1,0,1,2,0,0,1,0,3,+1
Quinn Cook,2:54,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-8
Alfonzo McKinnie,2:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-8
