Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,30:29,8,13,.615,2,4,.500,4,6,.667,1,9,10,11,0,0,6,3,22,+33
Dennis Schröder,27:53,2,5,.400,0,2,.000,2,2,1.000,0,2,2,7,1,0,4,2,6,+9
Damian Jones,21:12,3,3,1.000,0,0,,2,2,1.000,1,3,4,1,0,1,2,4,8,+9
Kentavious Caldwell-Pope,20:54,5,8,.625,3,4,.750,1,1,1.000,0,4,4,1,1,1,0,0,14,+9
Markieff Morris,15:48,2,5,.400,2,4,.500,1,2,.500,2,3,5,0,1,0,1,3,7,+7
Kyle Kuzma,28:10,7,11,.636,3,5,.600,0,1,.000,1,4,5,4,2,0,1,2,17,+26
Talen Horton-Tucker,27:59,7,10,.700,0,1,.000,4,5,.800,0,4,4,10,1,0,2,2,18,+20
Montrezl Harrell,25:04,11,14,.786,0,1,.000,5,6,.833,0,5,5,1,3,0,2,4,27,+16
Wesley Matthews,23:47,1,5,.200,1,5,.200,0,0,,0,0,0,0,0,1,0,2,3,+17
Alfonzo McKinnie,12:57,1,2,.500,0,1,.000,0,0,,1,3,4,0,0,0,1,3,2,+5
Devontae Cacok,5:46,2,2,1.000,0,0,,0,0,,1,2,3,1,0,0,0,0,4,+4
