Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dennis Schröder,31:55,.660,.625,.167,.167,4.2,13.1,9.2,38.3,6.0,2.8,35.2,26.7,96,79,5.6
Kentavious Caldwell-Pope,28:29,.394,.313,.625,.250,0.0,7.3,4.1,0.0,1.7,0.0,25.3,17.9,62,92,-11.1
Markieff Morris,27:21,.650,.650,.700,.000,0.0,19.1,10.7,12.0,1.7,3.3,28.6,21.9,90,86,1.5
Kyle Kuzma,27:04,.286,.286,.429,.000,0.0,30.8,17.3,36.0,0.0,0.0,22.2,14.3,81,88,-0.4
Marc Gasol,15:13,.667,.667,.333,.000,0.0,13.7,7.7,10.0,3.1,5.8,40.0,14.1,79,83,-2.3
Talen Horton-Tucker,32:26,.588,.591,.364,.364,0.0,9.7,5.4,15.2,2.9,0.0,13.6,19.5,108,88,0.3
Montrezl Harrell,29:43,.648,.667,.000,.533,31.4,10.5,19.7,14.8,3.2,0.0,9.7,29.6,127,87,7.9
Alex Caruso,23:53,.434,.250,.750,1.000,0.0,13.1,7.4,5.6,8.0,0.0,14.8,12.1,88,77,1.7
Wesley Matthews,18:08,.726,.500,.250,1.250,0.0,23.0,12.9,0.0,0.0,0.0,0.0,14.7,160,91,2.6
Devontae Cacok,1:56,.000,.000,.000,.000,0.0,54.0,30.3,0.0,0.0,0.0,0.0,22.2,0,79,-31.2
Kostas Antetokounmpo,1:56,,,,,0.0,54.0,30.3,0.0,0.0,0.0,,0.0,0,82,-1.0
Alfonzo McKinnie,1:56,.333,.333,.000,.000,69.0,0.0,30.3,0.0,0.0,0.0,0.0,66.5,86,98,-15.8
