Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyle Kuzma,31:09,.602,.553,.526,.211,0.0,24.1,9.4,32.2,3.2,3.3,4.6,30.5,121,116,12.3
Kentavious Caldwell-Pope,29:20,.436,.333,.167,.333,0.0,10.2,4.0,11.0,0.0,3.6,0.0,10.3,105,125,-5.1
Alex Caruso,28:35,.474,.438,.375,.125,0.0,0.0,0.0,42.0,3.5,0.0,26.2,17.5,91,121,-3.2
Andre Drummond,22:26,.589,.600,.000,1.200,8.6,26.7,15.7,0.0,2.2,4.7,11.6,16.8,111,116,-4.9
Anthony Davis,9:10,.222,.222,.111,.000,0.0,16.4,6.4,0.0,0.0,0.0,10.0,47.7,42,126,-28.7
Wesley Matthews,26:49,.381,.357,.714,.286,3.6,11.2,6.5,0.0,0.0,3.9,0.0,12.9,86,125,-7.7
Ben McLemore,24:36,.500,.500,1.000,.000,0.0,18.3,7.1,14.4,2.0,8.5,10.0,17.8,95,116,3.2
Markieff Morris,20:33,.255,.300,.600,.400,0.0,21.9,8.5,7.6,4.8,0.0,14.5,14.6,51,114,-8.0
Montrezl Harrell,19:38,.522,.444,.000,1.111,14.7,22.9,17.9,42.1,0.0,0.0,0.0,29.8,127,125,10.0
Alfonzo McKinnie,15:03,.500,.500,.444,.000,19.1,0.0,11.7,0.0,0.0,0.0,10.0,29.1,97,129,-6.9
Marc Gasol,5:55,,,,,0.0,0.0,0.0,24.6,0.0,0.0,,0.0,230,129,-3.5
Devontae Cacok,4:05,.266,.000,.000,2.000,47.0,0.0,28.7,0.0,0.0,0.0,0.0,20.1,103,129,-10.0
Kostas Antetokounmpo,2:39,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.5,0,129,-33.8
