Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dillon Brooks,36:34,.409,.342,.211,.211,9.4,10.7,10.1,8.2,1.3,0.0,0.0,24.5,100,93,-2.9
Ja Morant,36:21,.412,.357,.071,.286,3.1,5.4,4.4,39.5,0.0,0.0,24.1,24.7,88,97,-4.9
Jonas Valančiūnas,34:14,.819,.800,.067,.133,10.0,31.5,21.6,12.1,0.0,7.6,11.2,22.6,144,86,13.7
Grayson Allen,32:09,.700,.700,.900,.000,0.0,18.3,9.8,9.2,0.0,0.0,28.6,18.8,92,94,0.2
Kyle Anderson,28:39,.313,.313,.750,.000,4.0,13.7,9.2,27.4,6.7,3.0,27.3,16.6,76,79,4.5
Brandon Clarke,21:29,.654,.667,.167,.333,10.6,31.9,22.1,7.2,2.2,4.1,12.7,15.8,121,84,6.7
Desmond Bane,16:14,1.014,1.000,.750,.250,0.0,12.1,6.5,9.5,3.0,5.4,18.4,14.5,149,85,14.4
Tyus Jones,13:01,.338,.250,.000,.250,0.0,7.5,4.1,20.3,0.0,0.0,18.4,18.0,76,97,-9.6
Xavier Tillman,11:38,.333,.333,.333,.000,0.0,8.4,4.5,11.5,0.0,0.0,40.0,18.6,49,96,-15.5
John Konchar,9:41,.750,.750,1.000,.000,0.0,30.3,16.3,0.0,0.0,9.0,33.3,13.4,83,85,2.9
