Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grayson Allen,33:54,9,13,.692,7,10,.700,1,2,.500,0,4,4,1,2,0,1,1,26,+7
Dillon Brooks,33:39,9,15,.600,0,4,.000,3,3,1.000,3,3,6,4,2,0,2,5,21,+7
Kyle Anderson,33:37,3,7,.429,0,3,.000,2,2,1.000,0,8,8,8,1,1,0,4,8,+9
Ja Morant,31:28,5,16,.313,3,9,.333,0,0,,1,5,6,6,0,0,4,1,13,+9
Jonas Valančiūnas,25:44,7,10,.700,0,2,.000,3,3,1.000,2,6,8,2,0,1,1,0,17,+11
Desmond Bane,24:36,6,10,.600,3,5,.600,1,1,1.000,0,4,4,6,0,0,0,0,16,+18
Xavier Tillman,21:33,7,10,.700,1,1,1.000,0,0,,0,2,2,2,0,0,0,4,15,+2
Tyus Jones,16:32,3,9,.333,1,5,.200,1,1,1.000,0,1,1,1,2,0,0,1,8,+4
John Konchar,12:14,1,2,.500,0,1,.000,0,0,,1,1,2,1,3,0,2,0,2,+3
Killian Tillie,6:02,1,1,1.000,0,0,,0,0,,0,2,2,0,0,1,0,2,2,-5
Jontay Porter,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
