Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ja Morant,35:10,.721,.685,.074,.296,0.0,6.1,3.0,50.3,2.5,1.9,3.2,37.8,145,121,17.2
Dillon Brooks,33:13,.554,.536,.214,.071,3.2,9.6,6.4,22.3,2.7,0.0,12.2,20.9,110,121,-3.6
Jonas Valančiūnas,29:33,.550,.591,.091,.545,10.8,36.1,23.5,8.3,1.5,2.3,6.8,20.9,113,118,-2.5
Kyle Anderson,28:50,.438,.438,.375,.000,0.0,37.0,18.5,7.6,0.0,0.0,20.0,14.6,75,123,-11.2
Grayson Allen,26:57,.429,.429,.857,.000,0.0,7.9,4.0,19.6,0.0,2.5,0.0,10.9,109,125,-3.0
Brandon Clarke,25:51,.530,.556,.222,.111,0.0,12.4,6.2,0.0,0.0,2.7,9.6,17.0,89,125,-9.1
De'Anthony Melton,24:32,.250,.250,.500,.000,0.0,8.7,4.3,4.2,0.0,5.6,0.0,10.3,59,122,-8.8
Tyus Jones,13:35,.595,.600,.200,.400,0.0,7.9,3.9,9.2,0.0,0.0,25.4,24.4,88,128,-11.9
Gorgui Dieng,11:46,.833,.833,.667,.000,0.0,9.1,4.5,10.0,3.8,11.7,25.0,14.3,118,108,4.4
Desmond Bane,10:33,.600,.600,.800,.000,10.1,30.3,20.2,0.0,0.0,0.0,16.7,24.0,99,124,-5.5
