Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ja Morant,35:10,18,27,.667,1,2,.500,7,8,.875,0,2,2,9,2,1,1,1,44,+10
Dillon Brooks,33:13,7,14,.500,1,3,.333,1,1,1.000,1,3,4,6,2,0,2,6,16,-10
Jonas Valančiūnas,29:33,6,11,.545,1,1,1.000,2,6,.333,3,10,13,2,1,1,1,4,15,-4
Kyle Anderson,28:50,3,8,.375,1,3,.333,0,0,,0,10,10,2,0,0,2,3,7,-6
Grayson Allen,26:57,2,7,.286,2,6,.333,0,0,,0,2,2,5,0,1,0,1,6,-3
Brandon Clarke,25:51,5,9,.556,0,2,.000,0,1,.000,0,3,3,0,0,1,1,1,10,-8
De'Anthony Melton,24:32,1,6,.167,1,3,.333,0,0,,0,2,2,1,0,2,0,1,3,-7
Tyus Jones,13:35,3,5,.600,0,1,.000,1,2,.500,0,1,1,1,0,0,2,0,7,-20
Gorgui Dieng,11:46,2,3,.667,1,2,.500,0,0,,0,1,1,1,1,2,1,2,5,-6
Desmond Bane,10:33,2,5,.400,2,4,.500,0,0,,1,3,4,0,0,0,1,1,6,-6
