Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandon Clarke,33:52,.636,.611,.222,.111,3.1,17.4,10.6,8.1,0.0,3.5,0.0,12.0,143,102,2.6
Ja Morant,32:24,.529,.435,.217,.435,0.0,9.1,4.7,21.8,1.5,0.0,6.8,39.2,112,103,1.8
Grayson Allen,30:20,.250,.250,.375,.000,0.0,6.5,3.4,24.4,4.9,0.0,0.0,11.4,89,96,-0.8
Jonas Valančiūnas,29:37,.555,.500,.000,.214,25.2,26.5,25.9,5.3,0.0,0.0,16.4,26.7,113,100,-3.5
Kyle Anderson,25:13,.913,.857,.286,.571,0.0,23.3,12.2,5.9,0.0,0.0,18.6,18.4,147,101,6.2
Desmond Bane,25:19,.592,.563,.375,.125,0.0,19.3,10.1,5.5,3.9,0.0,10.6,16.1,113,94,2.6
Xavier Tillman,18:23,.500,.500,.250,.000,29.0,16.0,22.2,24.8,2.7,6.4,11.1,21.1,122,95,7.6
De'Anthony Melton,17:18,.363,.417,.333,.333,0.0,17.0,8.9,7.6,11.5,6.8,12.7,19.7,72,74,7.9
Tyus Jones,15:36,.820,.750,.000,.500,0.0,0.0,0.0,9.4,3.2,7.5,0.0,13.5,175,100,11.4
Sean McDermott,11:58,.000,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.4,0,110,-22.2
