Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Clarke,33:52,5,9,.556,1,2,.500,1,1,1.000,1,6,7,2,0,1,0,1,12,+27
Ja Morant,32:24,10,23,.435,0,5,.000,9,10,.900,0,3,3,4,1,0,2,2,29,+14
Grayson Allen,30:20,2,8,.250,0,3,.000,0,0,,0,2,2,6,3,0,0,3,4,+20
Jonas Valančiūnas,29:37,7,14,.500,0,0,,3,3,1.000,7,8,15,1,0,0,3,3,17,+2
Kyle Anderson,25:13,5,7,.714,2,2,1.000,4,4,1.000,0,6,6,1,0,0,2,1,16,+6
Desmond Bane,25:19,4,8,.500,1,3,.333,1,1,1.000,0,5,5,1,2,0,1,0,10,+10
Xavier Tillman,18:23,4,8,.500,0,2,.000,0,0,,5,3,8,3,1,1,1,2,8,+12
De'Anthony Melton,17:18,2,6,.333,1,2,.500,0,2,.000,0,3,3,1,4,1,1,0,5,-9
Tyus Jones,15:36,3,4,.750,0,0,,2,2,1.000,0,0,0,1,1,1,0,0,8,0
Sean McDermott,11:58,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-12
