Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Clarke,34:47,8,13,.615,1,1,1.000,0,0,,2,3,5,3,2,0,1,1,17,-6
Ja Morant,34:03,5,10,.500,1,2,.500,6,8,.750,0,3,3,10,2,1,4,1,17,-11
Xavier Tillman,28:42,5,8,.625,1,2,.500,1,2,.500,2,4,6,1,2,0,1,4,12,-7
Kyle Anderson,27:53,4,9,.444,2,5,.400,0,0,,2,6,8,2,2,1,2,4,10,-1
Dillon Brooks,22:12,1,10,.100,0,4,.000,1,2,.500,0,2,2,3,0,0,1,3,3,-1
Grayson Allen,26:00,4,8,.500,2,5,.400,6,7,.857,0,6,6,3,1,0,4,0,16,+12
Tyus Jones,22:12,5,8,.625,1,2,.500,0,0,,2,3,5,3,1,0,0,0,11,+17
Desmond Bane,22:08,4,9,.444,2,4,.500,0,0,,0,1,1,2,1,0,2,1,10,+8
Gorgui Dieng,14:32,3,5,.600,1,1,1.000,1,1,1.000,0,3,3,2,1,1,0,0,8,+10
John Konchar,7:28,2,3,.667,0,0,,0,0,,1,0,1,2,1,0,0,1,4,-1
