Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ja Morant,29:48,.509,.500,.167,.333,7.3,0.0,3.6,11.0,0.0,3.2,30.4,28.1,76,121,-11.6
Jonas Valančiūnas,25:03,.571,.571,.143,.571,8.7,59.6,34.4,24.5,0.0,3.8,18.6,18.2,110,109,4.5
Dillon Brooks,24:34,.340,.200,.200,.400,0.0,4.3,2.2,0.0,5.7,0.0,0.0,20.3,76,108,-9.4
Grayson Allen,24:27,.875,.875,.375,.000,0.0,13.1,6.6,21.6,1.9,0.0,20.0,17.3,132,116,6.5
Kyle Anderson,21:29,.658,.500,.250,.750,0.0,14.9,7.5,19.4,4.4,0.0,42.9,18.4,85,110,-2.7
De'Anthony Melton,23:14,.500,.500,.444,.000,4.7,27.5,16.2,6.7,2.0,0.0,10.0,18.2,96,113,-4.6
Brandon Clarke,22:17,.630,.556,.000,.333,4.9,14.4,9.7,0.0,0.0,0.0,0.0,19.6,132,120,-0.4
Tyus Jones,19:54,.237,.000,.400,.600,0.0,5.4,2.7,43.3,0.0,0.0,13.7,15.6,87,122,-8.3
Desmond Bane,15:57,.667,.667,.833,.000,0.0,20.1,10.1,30.1,2.9,0.0,25.0,21.3,105,112,3.9
Justise Winslow,15:41,.417,.417,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21.6,59,123,-16.0
Xavier Tillman,5:52,1.000,1.000,.000,.000,18.6,18.2,18.4,0.0,8.0,16.4,0.0,21.7,203,89,33.4
Killian Tillie,5:52,.375,.375,.500,.000,37.2,18.2,27.6,26.5,0.0,49.1,0.0,28.9,109,83,19.0
John Konchar,5:52,1.500,1.500,1.000,.000,0.0,18.2,9.2,0.0,8.0,0.0,0.0,7.2,300,101,20.1
