Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ja Morant,35:58,11,18,.611,2,4,.500,12,15,.800,0,2,2,7,3,0,5,1,36,+4
Desmond Bane,32:51,3,10,.300,0,1,.000,1,1,1.000,1,4,5,5,1,0,0,4,7,0
Jonas Valančiūnas,32:11,8,17,.471,0,0,,0,0,,7,7,14,5,1,0,0,4,16,+1
Kyle Anderson,31:20,6,11,.545,1,4,.250,5,7,.714,0,11,11,1,0,3,2,0,18,-2
Dillon Brooks,29:21,8,17,.471,1,3,.333,0,0,,0,1,1,1,3,0,1,5,17,-3
De'Anthony Melton,22:22,2,6,.333,1,4,.250,0,0,,1,0,1,1,1,0,3,0,5,-3
Tyus Jones,19:01,1,4,.250,0,0,,0,0,,2,3,5,3,1,0,0,1,2,-3
Killian Tillie,16:40,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,1,0,0,4,-2
Xavier Tillman,15:49,1,3,.333,0,1,.000,0,0,,0,6,6,0,0,0,0,3,2,-5
Sean McDermott,4:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-7
