Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dillon Brooks,31:40,.528,.500,.300,.200,0.0,3.4,1.6,5.0,0.0,0.0,0.0,27.2,122,121,-4.4
Ja Morant,31:40,.557,.500,.167,.222,3.2,6.9,4.9,33.3,0.0,2.5,23.3,32.2,103,118,-1.8
Desmond Bane,30:59,.500,.500,.600,.000,6.5,14.1,10.1,0.0,0.0,0.0,28.6,8.9,85,119,-10.5
Jonas Valančiūnas,30:21,.468,.500,.000,.400,23.1,32.3,27.5,13.1,1.6,7.9,20.3,19.3,102,104,-1.1
Kyle Anderson,27:56,.739,.708,.417,.417,3.6,11.7,7.5,10.7,3.4,0.0,6.6,21.5,151,111,11.5
Jaren Jackson,21:21,.543,.500,.333,.167,9.4,25.5,17.1,0.0,0.0,7.5,23.7,15.7,95,110,-8.7
De'Anthony Melton,18:58,.350,.350,.500,.000,5.3,28.8,16.5,20.9,5.1,12.7,9.1,23.0,91,92,7.0
Xavier Tillman,16:22,.500,.500,.250,.000,6.1,20.0,12.8,7.7,2.9,0.0,0.0,9.7,128,111,-2.4
Tyus Jones,16:20,.583,.583,.500,.000,0.0,6.7,3.2,25.1,0.0,4.9,14.3,17.0,121,115,0.2
Justise Winslow,14:23,.316,.400,.200,.600,13.9,37.9,25.4,8.9,0.0,0.0,0.0,17.4,90,115,-8.5
