Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ja Morant,37:33,2,14,.143,0,4,.000,4,4,1.000,1,4,5,6,0,0,3,1,8,0
Dillon Brooks,35:23,8,19,.421,5,9,.556,4,6,.667,1,0,1,1,2,0,0,4,25,+4
Jonas Valančiūnas,34:57,4,8,.500,0,0,,3,3,1.000,7,9,16,1,0,3,2,1,11,-7
Kyle Anderson,31:56,5,13,.385,3,9,.333,0,0,,0,6,6,7,1,1,1,3,13,+1
Grayson Allen,26:28,0,5,.000,0,4,.000,2,2,1.000,1,4,5,5,1,0,0,0,2,+9
Desmond Bane,26:14,9,13,.692,4,7,.571,0,0,,2,6,8,2,3,0,2,2,22,-26
Jaren Jackson,19:57,4,8,.500,2,4,.500,5,6,.833,0,3,3,0,0,0,1,1,15,-12
Tyus Jones,9:25,1,1,1.000,1,1,1.000,2,3,.667,0,1,1,2,0,0,0,0,5,-14
Xavier Tillman,9:09,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,-10
De'Anthony Melton,8:57,1,4,.250,1,3,.333,0,0,,1,0,1,0,0,0,3,1,3,-15
