Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler,34:39,11,16,.688,1,2,.500,5,6,.833,1,2,3,5,2,0,1,1,28,+1
Bam Adebayo,33:20,9,14,.643,0,0,,0,3,.000,2,8,10,10,3,0,0,2,18,-8
Victor Oladipo,33:11,6,14,.429,1,4,.250,3,5,.600,1,5,6,2,0,0,3,2,16,-18
Trevor Ariza,26:18,0,5,.000,0,2,.000,2,2,1.000,1,2,3,4,1,0,1,4,2,-6
Duncan Robinson,25:55,5,8,.625,4,7,.571,0,0,,0,4,4,0,0,1,1,2,14,0
Tyler Herro,27:16,7,10,.700,4,7,.571,1,2,.500,0,2,2,4,0,1,4,1,19,-13
Goran Dragić,22:05,3,8,.375,3,7,.429,0,0,,1,2,3,3,1,0,2,0,9,-13
Andre Iguodala,18:55,0,1,.000,0,1,.000,0,0,,0,1,1,3,1,2,0,0,0,-19
Nemanja Bjelica,13:30,2,5,.400,0,3,.000,0,0,,1,1,2,1,1,0,0,3,4,+1
Precious Achiuwa,1:37,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+5
Gabe Vincent,1:37,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,1,0,+5
Max Strus,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+5
