Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bam Adebayo,36:53,.691,.643,.000,.429,5.4,14.1,9.2,10.7,2.8,5.4,5.7,23.0,136,115,6.7
Goran Dragić,35:15,.405,.333,.333,.222,0.0,22.1,9.6,29.9,4.4,0.0,9.2,14.8,96,113,-2.0
Jimmy Butler,34:53,.639,.524,.095,.524,5.7,22.3,13.0,33.0,2.9,0.0,0.0,35.6,138,117,14.3
Trevor Ariza,34:18,.605,.571,.857,.143,2.9,18.9,9.9,10.1,3.0,5.8,0.0,20.8,124,113,6.7
Duncan Robinson,26:09,.214,.214,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,44,128,-16.4
Gabe Vincent,30:02,.214,.214,.714,.000,0.0,0.0,0.0,0.0,3.4,0.0,22.2,14.4,33,120,-15.6
Max Strus,17:41,.357,.357,.857,.000,0.0,14.7,6.4,0.0,2.9,0.0,12.5,21.7,60,118,-14.5
Dewayne Dedmon,11:07,1.031,1.000,.000,.667,9.0,46.7,25.4,18.7,0.0,0.0,0.0,16.8,215,118,12.6
Nemanja Bjelica,11:04,.266,.000,.000,2.000,0.0,11.7,5.1,12.0,4.6,0.0,0.0,8.2,78,115,-4.4
KZ Okpala,2:38,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0,127,-32.4
