Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyler Herro,32:20,.486,.400,.400,.300,0.0,7.1,3.9,13.3,1.5,0.0,20.9,20.8,86,107,-7.5
Duncan Robinson,32:02,.821,.821,.929,.000,0.0,17.8,9.9,0.0,0.0,0.0,6.7,22.0,125,106,5.1
Bam Adebayo,28:13,.679,.556,.000,.889,0.0,16.2,9.0,11.5,3.5,4.0,19.3,25.9,113,97,0.7
Meyers Leonard,19:48,.900,.900,1.000,.000,0.0,11.5,6.4,7.9,0.0,0.0,16.7,14.2,125,108,-0.4
Jimmy Butler,16:13,.286,.286,.143,.000,26.1,21.1,23.4,46.1,3.1,0.0,12.5,23.2,103,98,-0.2
Avery Bradley,28:27,.721,.714,.714,.429,0.0,8.0,4.4,21.6,3.5,0.0,19.4,17.1,121,102,2.5
Goran Dragić,27:09,.639,.545,.364,.636,0.0,8.4,4.7,58.1,7.3,0.0,17.6,29.6,127,93,10.5
Andre Iguodala,26:13,.600,.600,1.000,.000,0.0,30.5,16.9,16.0,1.9,0.0,28.6,12.6,95,98,-0.1
Precious Achiuwa,19:28,.698,.714,.000,.286,7.3,11.7,9.7,19.2,0.0,5.7,11.3,21.4,128,105,-1.8
Maurice Harkless,9:29,,,,,0.0,24.1,13.3,0.0,0.0,0.0,,0.0,0,104,-7.3
Chris Silva,0:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-6.7
KZ Okpala,0:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-5.3
