Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyler Herro,33:10,9,16,.563,3,8,.375,2,3,.667,0,3,3,7,1,0,1,2,23,-32
Bam Adebayo,25:01,5,7,.714,0,0,,2,2,1.000,0,6,6,4,1,1,5,2,12,-32
Duncan Robinson,24:04,1,4,.250,1,4,.250,1,1,1.000,0,2,2,1,1,1,3,2,4,-30
Maurice Harkless,3:44,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,1,0,-16
Meyers Leonard,2:02,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-10
Kendrick Nunn,30:48,6,17,.353,1,6,.167,2,2,1.000,1,2,3,6,1,1,1,0,15,-28
KZ Okpala,27:26,1,4,.250,0,3,.000,1,2,.500,1,3,4,0,1,0,0,1,3,-5
Kelly Olynyk,24:47,1,5,.200,1,5,.200,2,4,.500,1,4,5,2,2,2,2,2,5,-28
Avery Bradley,24:19,5,9,.556,4,6,.667,0,0,,0,2,2,1,1,0,1,3,14,-22
Precious Achiuwa,17:38,5,8,.625,0,0,,0,2,.000,0,4,4,0,1,0,2,3,10,-15
Max Strus,12:00,3,5,.600,1,3,.333,0,0,,0,0,0,1,0,0,0,0,7,-7
Goran Dragić,9:40,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,3,0,2,-10
Chris Silva,5:21,0,0,,0,0,,2,2,1.000,0,0,0,0,0,1,1,2,2,0
