Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,37:57,.641,.526,.105,.526,9.3,23.9,16.2,37.9,2.6,0.0,4.1,28.4,145,127,11.1
Bam Adebayo,35:54,.785,.800,.000,.333,9.8,32.5,20.6,31.2,1.4,5.0,14.9,24.9,142,124,11.2
Duncan Robinson,34:45,.500,.500,.846,.000,0.0,14.9,7.1,3.5,0.0,0.0,0.0,16.5,104,134,-9.1
Kendrick Nunn,21:28,.436,.333,.667,.333,0.0,12.1,5.7,5.4,0.0,0.0,12.7,16.2,86,134,-16.4
Kelly Olynyk,14:25,.167,.167,.667,.000,0.0,18.0,8.5,7.8,0.0,0.0,14.3,21.4,40,133,-23.9
Tyler Herro,40:42,.633,.650,.500,.150,5.8,9.6,7.6,7.1,1.2,4.5,8.6,25.3,118,128,1.8
Andre Iguodala,20:39,.500,.500,.500,.000,0.0,12.6,6.0,16.0,2.4,4.4,0.0,4.3,141,125,0.5
Maurice Harkless,13:20,,,,,8.8,0.0,4.6,15.7,0.0,6.8,,0.0,217,130,0.2
Precious Achiuwa,12:06,.581,.500,.000,.333,0.0,10.7,5.1,0.0,8.2,0.0,0.0,25.1,121,116,-2.1
Max Strus,8:44,.375,.375,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,79,136,-15.6
