Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kendrick Nunn,40:59,7,18,.389,3,9,.333,3,3,1.000,0,5,5,9,3,2,0,1,20,+23
Bam Adebayo,37:05,7,10,.700,0,0,,5,6,.833,3,10,13,5,0,1,4,3,19,+13
Duncan Robinson,36:54,8,15,.533,6,13,.462,0,0,,0,7,7,0,2,0,0,4,22,+8
Jimmy Butler,29:20,3,11,.273,0,0,,9,9,1.000,2,2,4,9,1,1,1,0,15,+11
Kelly Olynyk,23:50,4,9,.444,1,4,.250,2,2,1.000,2,4,6,1,0,0,4,4,11,+10
Max Strus,29:39,3,11,.273,3,10,.300,2,3,.667,1,1,2,2,1,0,0,5,11,+14
Andre Iguodala,23:20,2,4,.500,2,3,.667,0,0,,1,4,5,2,0,2,3,2,6,+8
Precious Achiuwa,9:29,1,1,1.000,0,0,,0,2,.000,1,2,3,1,0,0,0,0,2,+3
Gabe Vincent,7:06,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,1,2,-14
KZ Okpala,2:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
