Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Duncan Robinson,41:45,6,15,.400,3,11,.273,3,3,1.000,0,5,5,1,0,0,2,2,18,-5
Bam Adebayo,37:52,14,20,.700,1,1,1.000,12,14,.857,0,5,5,9,1,0,1,5,41,+4
Goran Dragić,30:32,7,18,.389,0,6,.000,5,5,1.000,0,1,1,7,0,0,1,4,19,0
Kelly Olynyk,21:44,2,9,.222,1,8,.125,0,0,,1,6,7,4,2,0,0,1,5,-5
Maurice Harkless,10:06,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,0,6,-7
Kendrick Nunn,32:23,7,14,.500,4,9,.444,0,0,,0,5,5,3,1,0,1,4,18,-4
Andre Iguodala,26:03,1,3,.333,1,3,.333,2,4,.500,0,3,3,2,3,0,2,1,5,+7
Gabe Vincent,19:40,1,5,.200,0,4,.000,0,0,,0,0,0,3,0,0,0,3,2,0
Precious Achiuwa,10:08,1,1,1.000,0,0,,5,6,.833,1,1,2,0,0,0,1,3,7,-8
KZ Okpala,9:47,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,1,0,0,3,-2
