Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyler Herro,40:03,.545,.500,.417,.333,3.2,8.6,6.0,12.0,0.0,6.0,22.5,20.6,93,115,-5.2
Bam Adebayo,35:47,.705,.636,.000,.364,7.1,35.1,21.8,20.2,2.9,3.4,28.2,23.0,110,101,2.5
Duncan Robinson,34:56,.778,.778,.889,.000,0.0,9.8,5.2,4.7,0.0,3.4,18.2,14.6,114,116,-0.2
Jimmy Butler,33:36,.576,.421,.105,.842,3.8,20.4,12.5,46.5,0.0,0.0,0.0,36.0,138,114,8.1
KZ Okpala,7:28,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0,118,-24.6
Andre Iguodala,25:58,.085,.000,1.000,.400,4.9,22.0,13.9,30.8,2.0,0.0,25.4,14.1,64,109,-8.1
Kelly Olynyk,25:43,.611,.611,.889,.000,9.8,8.9,9.3,19.6,4.0,0.0,10.0,18.0,124,108,5.2
Max Strus,13:25,.875,.875,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,161,121,3.3
Precious Achiuwa,12:18,.750,.750,.000,.000,20.5,0.0,9.8,0.0,0.0,0.0,20.0,18.9,121,121,-3.6
Gabe Vincent,10:46,.750,.750,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,141,121,-2.3
