Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,36:29,.678,.588,.235,.588,5.6,16.0,10.5,49.7,6.9,3.8,4.5,27.6,148,92,19.0
Duncan Robinson,35:15,.500,.500,.857,.000,2.9,13.3,7.7,13.5,1.4,0.0,0.0,17.9,110,107,-2.8
Kelly Olynyk,34:11,.872,.833,.667,.333,3.0,20.5,11.2,19.7,4.4,8.0,16.2,16.2,145,94,10.0
KZ Okpala,22:22,.500,.500,.375,.000,4.6,15.7,9.8,0.0,4.5,12.3,11.1,18.1,89,93,-3.2
Kendrick Nunn,18:29,.167,.167,.667,.000,0.0,6.3,3.0,7.5,0.0,0.0,10.0,24.4,39,113,-23.6
Tyler Herro,29:23,.652,.625,.500,.125,10.4,19.9,14.9,20.5,1.7,4.7,10.6,28.9,120,103,7.9
Andre Iguodala,25:38,.500,.500,1.000,.000,4.0,22.8,12.8,0.0,2.0,0.0,25.0,7.0,81,104,-8.6
Goran Dragić,24:24,.136,.136,.727,.000,0.0,19.2,8.9,44.9,4.1,0.0,15.4,24.0,59,100,-10.6
Precious Achiuwa,11:53,.500,.500,.000,.000,8.6,0.0,4.6,0.0,0.0,0.0,33.3,11.4,77,112,-20.9
Chris Silva,1:56,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,109,-32.1
