Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Olynyk,34:30,7,13,.538,1,5,.200,2,3,.667,2,6,8,4,3,2,0,4,17,+21
Jimmy Butler,31:51,11,16,.688,0,1,.000,6,6,1.000,4,8,12,4,2,0,3,2,28,+14
Bam Adebayo,29:43,6,14,.429,0,0,,2,3,.667,7,2,9,6,0,2,2,2,14,-3
Duncan Robinson,26:37,5,9,.556,4,8,.500,0,0,,0,1,1,1,2,0,0,1,14,-2
Kendrick Nunn,23:46,4,9,.444,2,3,.667,0,0,,1,4,5,2,1,0,1,3,10,+19
Tyler Herro,31:53,4,13,.308,0,3,.000,7,7,1.000,1,2,3,2,1,0,2,0,15,+6
Goran Dragić,27:04,1,4,.250,0,2,.000,0,0,,1,4,5,9,1,1,4,2,2,+2
KZ Okpala,24:23,2,5,.400,1,3,.333,0,0,,0,5,5,0,0,0,0,4,5,+14
Andre Iguodala,9:17,2,2,1.000,2,2,1.000,2,2,1.000,0,0,0,2,1,0,1,0,8,+4
Gabe Vincent,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Chris Silva,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
