Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kendrick Nunn,37:17,8,13,.615,3,8,.375,0,0,,0,1,1,2,1,0,1,3,19,-2
Bam Adebayo,33:32,9,13,.692,0,0,,2,3,.667,2,5,7,10,1,0,3,2,20,+5
Trevor Ariza,31:21,3,6,.500,1,4,.250,2,4,.500,2,5,7,3,3,2,1,2,9,+4
Jimmy Butler,27:52,5,8,.625,0,1,.000,8,9,.889,2,6,8,8,1,1,0,1,18,+14
Duncan Robinson,26:31,3,10,.300,3,10,.300,1,3,.333,0,3,3,0,1,1,0,3,10,+12
Goran Dragić,29:35,7,18,.389,1,6,.167,3,3,1.000,1,1,2,2,1,1,3,3,18,+11
Max Strus,20:55,3,8,.375,1,6,.167,0,0,,1,2,3,2,1,0,0,3,7,-2
Andre Iguodala,16:11,1,3,.333,1,2,.500,0,0,,0,3,3,2,0,1,1,1,3,+9
Dewayne Dedmon,13:19,5,6,.833,0,0,,4,5,.800,3,5,8,0,1,0,2,4,14,+8
Gabe Vincent,1:09,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-3
Precious Achiuwa,1:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
KZ Okpala,1:09,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
