Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Khris Middleton,28:36,.711,.692,.308,.308,8.0,19.7,14.4,25.8,1.7,3.4,11.9,25.2,141,88,10.2
Jrue Holiday,26:41,.551,.500,.200,.200,8.6,10.6,9.7,32.5,1.8,3.6,15.5,20.8,127,89,5.3
Donte DiVincenzo,26:09,.375,.375,.583,.000,0.0,25.2,13.8,19.0,1.9,0.0,7.7,21.4,93,88,-6.2
Brook Lopez,22:09,.455,.389,.333,.222,5.2,12.7,9.3,5.5,0.0,0.0,0.0,19.2,113,95,-7.0
Pat Connaughton,17:26,1.375,1.375,.750,.000,6.6,16.2,11.8,15.7,0.0,0.0,20.0,12.3,197,95,16.2
Bobby Portis,23:29,.667,.667,.500,.000,4.9,36.1,22.0,6.1,2.1,0.0,14.3,25.6,115,85,4.2
Bryn Forbes,23:26,.597,.600,.500,.200,0.0,12.0,6.6,11.5,6.3,0.0,8.4,21.8,118,82,4.8
Thanasis Antetokounmpo,20:40,.643,.600,.000,.200,11.1,13.7,12.5,6.0,0.0,9.3,0.0,11.3,155,88,1.1
Jordan Nwora,20:03,.458,.458,.417,.000,5.7,9.4,7.7,7.0,2.4,9.6,7.7,27.9,96,84,-3.5
Jeff Teague,14:23,.532,.000,1.000,2.000,0.0,13.1,7.2,21.8,0.0,6.7,34.7,8.6,118,90,-2.5
Sam Merrill,6:56,1.031,1.000,1.000,.667,0.0,0.0,0.0,21.5,0.0,0.0,0.0,24.1,211,98,20.8
Mamadi Diakite,5:01,.000,.000,.000,.000,22.8,37.5,30.9,0.0,0.0,0.0,0.0,8.6,76,89,-14.4
Rodions Kurucs,5:01,1.250,1.250,.500,.000,22.8,18.8,20.6,0.0,0.0,0.0,0.0,17.1,247,93,19.0
