Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brook Lopez,33:58,9,15,.600,0,1,.000,4,5,.800,1,1,2,3,0,4,1,3,22,+30
Khris Middleton,33:02,8,24,.333,3,8,.375,3,3,1.000,0,8,8,6,0,0,2,1,22,+5
Jrue Holiday,29:49,7,17,.412,1,5,.200,1,2,.500,1,1,2,7,1,0,4,2,16,+31
Bobby Portis,28:24,7,10,.700,1,2,.500,1,2,.500,2,12,14,1,2,1,0,5,16,-9
Bryn Forbes,26:36,4,9,.444,2,4,.500,0,0,,1,12,13,1,1,0,0,2,10,+21
Pat Connaughton,26:38,2,5,.400,2,3,.667,0,0,,1,5,6,1,1,0,0,1,6,+5
Jeff Teague,23:05,3,5,.600,0,0,,5,5,1.000,0,0,0,4,0,0,2,0,11,-15
P.J. Tucker,21:38,1,2,.500,0,0,,0,1,.000,1,2,3,0,0,0,0,2,2,-4
Thanasis Antetokounmpo,13:03,1,2,.500,0,1,.000,1,2,.500,1,2,3,1,0,0,1,3,3,+3
Jordan Nwora,3:47,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-17
