Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Khris Middleton,32:46,.545,.472,.333,.278,2.7,12.6,6.5,25.0,0.0,0.0,0.0,24.9,129,135,2.7
Giannis Antetokounmpo,31:59,.652,.633,.333,.867,5.5,47.2,21.7,27.3,4.5,0.0,12.6,30.0,124,119,12.3
Jrue Holiday,27:55,.400,.400,.400,.000,6.3,9.8,7.6,25.2,3.4,0.0,23.1,18.8,85,127,-4.7
Donte DiVincenzo,23:30,.672,.714,.571,.143,0.0,11.7,4.5,6.2,0.0,0.0,11.8,14.5,116,135,-3.2
Brook Lopez,20:51,.381,.286,.571,.286,8.4,0.0,5.1,0.0,2.3,7.9,0.0,15.3,100,125,-6.9
Bobby Portis,26:07,.660,.625,.167,.167,16.7,10.5,14.3,13.1,1.8,3.2,7.2,21.5,138,128,4.4
Bryn Forbes,17:39,.102,.000,.250,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,27,136,-19.8
Pat Connaughton,15:57,.250,.250,.625,.000,5.5,17.2,10.0,8.6,0.0,5.2,0.0,20.3,72,129,-12.1
D.J. Augustin,13:45,.145,.000,.667,.333,0.0,10.0,3.9,8.5,0.0,0.0,12.7,23.2,39,135,-23.0
Jordan Nwora,7:27,.750,.750,.333,.000,0.0,36.8,14.3,0.0,0.0,0.0,25.0,43.4,93,131,3.4
Sam Merrill,7:27,.750,.750,.500,.000,11.7,36.8,21.5,37.3,0.0,0.0,0.0,10.9,179,130,10.3
D.J. Wilson,6:54,.568,,,,12.6,0.0,7.7,0.0,0.0,0.0,0.0,5.2,147,136,-11.6
Thanasis Antetokounmpo,4:59,,,,,35.0,0.0,21.4,0.0,0.0,0.0,,0.0,213,136,-9.7
Torrey Craig,2:44,,,,,0.0,0.0,0.0,85.7,0.0,30.3,,0.0,217,112,36.5
