Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Khris Middleton,37:33,4,8,.500,1,3,.333,2,2,1.000,0,7,7,0,2,0,5,4,11,-19
Giannis Antetokounmpo,37:17,11,20,.550,2,4,.500,10,14,.714,0,10,10,8,5,2,5,2,34,-9
Donte DiVincenzo,31:57,5,14,.357,1,8,.125,1,2,.500,1,2,3,8,0,0,2,1,12,-6
Brook Lopez,29:06,2,5,.400,1,2,.500,4,4,1.000,1,4,5,0,0,0,2,2,9,-17
Bryn Forbes,25:33,3,7,.429,3,5,.600,2,3,.667,0,2,2,0,1,0,0,1,11,-11
Pat Connaughton,31:21,8,15,.533,4,10,.400,0,0,,2,3,5,1,0,3,1,2,20,+6
Bobby Portis,23:46,7,11,.636,2,3,.667,0,0,,0,6,6,2,1,0,1,4,16,-2
D.J. Augustin,15:11,0,2,.000,0,2,.000,0,0,,1,1,2,6,0,0,1,0,0,+2
Torrey Craig,8:05,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,1,0,+1
Thanasis Antetokounmpo,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
