Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Khris Middleton,37:08,.454,.385,.231,.231,5.2,19.9,11.6,22.6,1.4,0.0,29.5,23.2,80,117,-8.2
Giannis Antetokounmpo,37:05,.447,.400,.200,.650,2.6,36.5,17.5,42.0,2.7,0.0,16.3,35.2,91,113,2.5
Bryn Forbes,28:48,.688,.688,.875,.000,6.7,12.8,9.4,5.9,1.8,0.0,0.0,11.8,147,117,5.7
Donte DiVincenzo,26:40,.467,.467,.400,.000,7.2,23.1,14.2,29.8,0.0,0.0,6.3,25.5,106,120,1.0
Brook Lopez,20:23,.721,.643,.429,.429,9.4,12.1,10.6,0.0,2.5,11.0,10.7,19.4,135,104,9.8
Pat Connaughton,29:21,.717,.625,.750,.500,0.0,12.6,5.5,10.3,0.0,0.0,0.0,7.1,162,121,-0.9
D.J. Augustin,24:59,.500,.500,.778,.000,0.0,14.8,6.5,6.6,0.0,0.0,0.0,15.3,111,121,-2.3
Bobby Portis,19:16,.333,.333,.000,.000,14.9,25.6,19.6,15.3,0.0,0.0,40.0,11.0,78,120,-7.6
Thanasis Antetokounmpo,7:41,.363,.333,.000,.333,37.5,0.0,21.1,0.0,0.0,0.0,0.0,38.0,97,121,-9.1
Torrey Craig,7:20,.000,.000,.333,.000,0.0,0.0,0.0,0.0,6.9,0.0,0.0,17.4,0,105,-14.4
Jaylen Adams,1:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-7.1
