Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Khris Middleton,37:05,.563,.500,.450,.250,4.6,14.9,9.6,23.8,0.0,0.0,4.3,25.7,129,113,7.3
Jrue Holiday,34:59,.518,.500,.267,.067,0.0,7.9,3.8,20.5,2.8,2.2,11.5,20.5,107,107,2.6
Brook Lopez,33:40,.427,.417,.417,.167,2.5,27.4,14.5,3.8,0.0,2.3,0.0,15.7,101,108,-0.9
Giannis Antetokounmpo,30:12,.610,.714,.238,.476,8.5,18.3,13.2,7.7,0.0,2.6,16.4,41.3,97,109,3.7
Donte DiVincenzo,26:29,.600,.600,.800,.000,0.0,10.5,5.0,9.2,1.8,0.0,16.7,9.3,112,110,-1.4
Pat Connaughton,21:14,.000,.000,1.000,.000,12.1,13.0,12.6,26.3,4.5,0.0,0.0,5.8,114,103,4.0
D.J. Augustin,21:00,.658,.500,.250,.750,4.1,4.4,4.2,5.9,0.0,0.0,0.0,10.4,154,116,-0.7
Bobby Portis,17:21,.429,.438,.125,.375,24.7,42.6,33.3,0.0,0.0,0.0,0.0,22.0,114,105,-0.8
Bryn Forbes,13:37,.300,.300,.600,.000,6.3,6.8,6.5,8.9,0.0,0.0,0.0,15.1,90,116,-5.5
Thanasis Antetokounmpo,4:23,.727,.833,.667,.333,0.0,0.0,0.0,0.0,0.0,0.0,22.5,41.6,86,112,-2.8
