Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Khris Middleton,37:05,8,20,.400,4,9,.444,5,5,1.000,2,6,8,6,0,0,1,2,25,-2
Jrue Holiday,34:59,7,15,.467,1,4,.250,1,1,1.000,0,3,3,5,2,1,2,1,16,+1
Brook Lopez,33:40,4,12,.333,2,5,.400,1,2,.500,1,10,11,1,0,1,0,0,11,+10
Giannis Antetokounmpo,30:12,14,21,.667,2,5,.400,1,10,.100,3,6,9,1,0,1,5,4,31,+1
Donte DiVincenzo,26:29,2,5,.400,2,4,.500,0,0,,0,3,3,2,1,0,1,2,6,+9
Pat Connaughton,21:14,0,3,.000,0,3,.000,0,0,,3,3,6,5,2,0,0,2,0,+1
D.J. Augustin,21:00,2,4,.500,0,1,.000,3,3,1.000,1,1,2,1,0,0,0,0,7,+2
Bobby Portis,17:21,3,8,.375,1,1,1.000,1,3,.333,5,8,13,0,0,0,0,1,8,-6
Bryn Forbes,13:37,1,5,.200,1,3,.333,0,0,,1,1,2,1,0,0,0,0,3,-1
Thanasis Antetokounmpo,4:23,2,3,.667,1,2,.500,0,1,.000,0,0,0,0,0,0,1,2,5,0
