Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Khris Middleton,35:52,.596,.600,.200,.300,6.4,35.1,20.7,17.7,0.0,0.0,18.1,32.2,110,122,-2.1
Jrue Holiday,35:22,.406,.406,.250,.000,3.2,3.2,3.2,11.0,2.7,0.0,5.9,20.1,99,123,-6.3
Giannis Antetokounmpo,32:53,.462,.409,.273,.636,0.0,27.8,13.9,26.1,1.5,3.1,26.2,24.3,92,118,-2.7
Donte DiVincenzo,31:05,1.079,1.071,.857,.286,0.0,14.7,7.4,4.1,0.0,3.3,20.2,13.3,165,124,8.2
Brook Lopez,30:55,.571,.536,.357,.143,14.8,3.7,9.2,0.0,4.7,3.3,11.8,22.8,117,115,0.9
Pat Connaughton,27:37,.625,.625,.750,.000,8.3,16.6,12.4,12.6,1.8,3.7,0.0,6.1,169,119,5.0
P.J. Tucker,18:48,.500,.500,1.000,.000,12.2,6.1,9.1,0.0,0.0,5.4,0.0,6.7,139,125,0.9
Bobby Portis,16:39,.928,.900,.600,.300,6.9,20.6,13.7,11.6,2.9,0.0,0.0,28.4,194,118,27.0
Sam Merrill,8:49,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,19.0,78,130,-12.8
Thanasis Antetokounmpo,2:00,.500,.500,.000,.000,57.1,0.0,28.6,0.0,0.0,0.0,0.0,41.8,126,130,-1.0
