Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Khris Middleton,35:52,11,20,.550,2,4,.500,3,6,.500,2,11,13,4,0,0,5,3,27,+1
Jrue Holiday,35:22,6,16,.375,1,4,.250,0,0,,1,1,2,3,2,0,1,2,13,0
Giannis Antetokounmpo,32:53,4,11,.364,1,3,.333,4,7,.571,0,8,8,7,1,1,5,2,13,+6
Donte DiVincenzo,31:05,5,7,.714,5,6,.833,2,2,1.000,0,4,4,1,0,1,2,1,17,+5
Brook Lopez,30:55,7,14,.500,1,5,.200,2,2,1.000,4,1,5,0,3,1,2,1,17,+7
Pat Connaughton,27:37,2,4,.500,1,3,.333,0,0,,2,4,6,3,1,1,0,2,5,-2
P.J. Tucker,18:48,1,3,.333,1,3,.333,0,0,,2,1,3,0,0,1,0,0,3,-1
Bobby Portis,16:39,7,10,.700,4,6,.667,3,3,1.000,1,3,4,1,1,0,0,2,21,-7
Sam Merrill,8:49,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,1,1,3,-1
Thanasis Antetokounmpo,2:00,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+2
