Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Giannis Antetokounmpo,37:25,.510,.433,.400,.400,5.3,27.9,16.4,17.2,1.3,0.0,12.4,42.4,104,115,2.6
Khris Middleton,36:14,.582,.528,.167,.222,2.8,17.3,9.9,16.5,2.6,0.0,9.2,23.7,122,114,3.9
Jrue Holiday,36:11,.779,.769,.462,.308,5.5,17.3,11.3,39.7,1.3,3.2,11.9,18.2,157,115,15.4
Donte DiVincenzo,29:11,.479,.500,.300,.100,20.6,32.2,26.2,9.2,0.0,0.0,8.7,15.4,119,118,-0.8
Brook Lopez,24:09,.450,.375,.125,.250,8.3,0.0,4.2,0.0,1.9,4.8,0.0,14.5,114,114,-4.1
Bryn Forbes,26:42,.700,.700,.700,.000,0.0,3.9,1.9,5.1,0.0,0.0,9.1,16.2,131,122,2.2
P.J. Tucker,20:09,.750,.750,1.000,.000,9.9,5.2,7.6,11.4,2.3,0.0,0.0,3.9,189,115,3.5
Bobby Portis,16:15,.363,.333,.333,.333,0.0,25.7,12.6,0.0,2.9,7.2,12.7,19.1,70,107,-6.7
Pat Connaughton,13:40,.532,.000,1.000,2.000,0.0,22.9,11.2,0.0,0.0,0.0,0.0,5.4,131,119,-5.9
Thanasis Antetokounmpo,0:04,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-5.7
