Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden McDaniels,43:35,5,12,.417,1,5,.200,0,0,,2,1,3,1,2,0,1,4,11,-17
Karl-Anthony Towns,42:02,10,22,.455,4,9,.444,6,6,1.000,2,10,12,7,1,0,6,3,30,-4
Anthony Edwards,40:26,7,12,.583,2,6,.333,8,8,1.000,1,4,5,5,1,0,3,3,24,-1
Josh Okogie,37:09,6,11,.545,2,4,.500,2,2,1.000,2,1,3,1,4,0,0,3,16,-3
Ricky Rubio,22:57,1,5,.200,0,3,.000,2,2,1.000,0,4,4,7,4,0,0,1,4,+1
D'Angelo Russell,28:48,10,18,.556,3,9,.333,3,4,.750,0,4,4,8,0,0,2,3,26,-10
Juan Hernangómez,19:00,3,8,.375,2,3,.667,2,2,1.000,2,2,4,0,0,0,0,3,10,-5
Jordan McLaughlin,14:57,2,2,1.000,0,0,,3,4,.750,0,1,1,1,2,0,1,2,7,-5
Naz Reid,10:58,3,6,.500,1,3,.333,1,2,.500,0,0,0,0,0,0,1,1,8,-5
Jarrett Culver,5:08,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,3,0,+4
