Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Edwards,34:30,.615,.605,.316,.158,0.0,15.5,7.6,14.3,0.0,3.0,9.0,25.9,120,115,-0.1
Karl-Anthony Towns,32:47,.491,.417,.389,.556,6.4,29.3,17.7,30.0,0.0,0.0,8.2,29.8,119,117,3.4
Jaden McDaniels,32:28,.571,.571,.714,.000,6.4,9.9,8.1,15.3,1.5,0.0,12.5,9.9,133,115,-0.2
Ricky Rubio,31:18,.808,.731,.615,.538,3.3,17.0,10.1,28.5,3.1,0.0,0.0,20.6,184,111,17.9
Josh Okogie,18:30,.630,.333,.333,1.333,16.9,17.3,17.1,0.0,0.0,0.0,0.0,10.3,166,118,-0.5
D'Angelo Russell,24:23,.295,.318,.455,.182,0.0,8.7,4.3,42.5,2.0,0.0,20.2,24.5,84,114,-11.6
Juan Hernangómez,23:17,.750,.750,.667,.000,9.0,22.9,15.9,0.0,2.1,0.0,0.0,10.3,161,113,4.1
Jarred Vanderbilt,15:37,.500,.500,.000,.000,26.7,13.7,20.3,15.4,0.0,0.0,33.3,7.7,135,118,-2.3
Naz Reid,15:13,.630,.722,.222,.333,6.9,28.0,17.3,0.0,0.0,6.7,8.8,29.8,107,111,0.6
Jordan McLaughlin,11:57,.667,.667,.500,.000,8.7,26.8,17.7,13.0,0.0,0.0,33.3,30.2,88,116,-8.9
