Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Okogie,32:33,4,9,.444,1,4,.250,3,3,1.000,1,3,4,2,0,0,2,3,12,+17
Karl-Anthony Towns,30:26,6,10,.600,2,4,.500,8,8,1.000,3,8,11,7,1,2,4,4,22,+11
Malik Beasley,26:37,10,18,.556,3,9,.333,0,0,,1,3,4,2,1,0,1,3,23,+12
Ricky Rubio,25:25,1,4,.250,0,1,.000,1,2,.500,0,1,1,3,2,0,1,3,3,+17
Jake Layman,16:33,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-15
D'Angelo Russell,33:20,7,16,.438,4,11,.364,0,0,,1,4,5,4,1,0,2,2,18,+5
Anthony Edwards,25:09,5,12,.417,1,5,.200,4,4,1.000,2,2,4,4,0,0,1,1,15,+4
Jarrett Culver,20:37,3,6,.500,0,1,.000,4,5,.800,2,8,10,2,0,0,0,0,10,+7
Naz Reid,17:34,2,5,.400,0,1,.000,4,6,.667,2,3,5,1,0,3,0,0,8,-1
Juan Hernangómez,11:46,0,5,.000,0,4,.000,0,0,,0,3,3,0,1,0,0,0,0,-7
