Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
D'Angelo Russell,31:03,.579,.579,.579,.000,3.1,8.8,5.5,26.8,3.2,0.0,13.6,30.8,105,126,1.2
Malik Beasley,28:05,.487,.375,.500,.500,0.0,19.5,8.0,0.0,0.0,0.0,4.9,31.7,98,131,-8.0
Ricky Rubio,25:33,.912,.875,.375,.375,0.0,0.0,0.0,36.5,1.9,0.0,24.4,20.9,139,130,3.3
Jarrett Culver,25:30,.000,.000,.300,.000,15.1,32.3,22.1,0.0,1.9,3.3,9.1,18.7,26,122,-21.2
Naz Reid,19:54,.799,.750,.167,.333,9.6,6.9,8.5,8.8,0.0,0.0,0.0,15.0,170,133,0.0
Anthony Edwards,24:42,.600,.600,.700,.000,0.0,0.0,0.0,0.0,0.0,3.4,0.0,17.6,117,131,-2.7
Juan Hernangómez,18:28,.200,.200,.600,.000,0.0,29.7,12.2,0.0,2.6,0.0,28.6,16.5,29,124,-17.3
Jordan McLaughlin,18:07,.250,.250,.250,.000,0.0,0.0,0.0,69.4,0.0,0.0,33.3,14.4,93,134,-8.4
Jarred Vanderbilt,15:38,.765,.800,.000,.400,18.4,26.3,21.7,12.4,3.1,5.4,0.0,16.3,166,118,11.0
Jake Layman,13:03,.500,.500,.250,.000,0.0,10.5,4.3,12.4,3.7,12.9,0.0,13.3,111,113,1.3
Ed Davis,12:28,.000,.000,.000,.000,7.7,55.0,27.2,10.4,0.0,6.8,0.0,3.5,93,120,-3.2
Jaden McDaniels,7:29,.798,1.000,.000,2.000,0.0,36.7,15.1,0.0,0.0,0.0,51.5,22.5,63,129,-18.1
