Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Beasley,37:14,7,13,.538,6,10,.600,0,0,,0,3,3,6,1,0,3,0,20,-2
Anthony Edwards,34:57,7,15,.467,1,7,.143,3,4,.750,0,7,7,3,1,0,2,1,18,+14
Karl-Anthony Towns,33:27,8,11,.727,2,3,.667,2,4,.500,3,8,11,3,1,3,7,6,20,+8
Ricky Rubio,29:43,6,13,.462,4,8,.500,0,0,,0,1,1,5,0,0,0,2,16,+9
Jarred Vanderbilt,23:24,4,5,.800,0,0,,4,4,1.000,1,6,7,2,0,2,0,5,12,-1
Jordan McLaughlin,18:50,2,4,.500,0,0,,2,2,1.000,0,3,3,4,2,1,2,1,6,-6
Jaden McDaniels,18:18,2,3,.667,1,2,.500,1,2,.500,0,2,2,2,0,1,1,1,6,+11
Naz Reid,13:49,1,5,.200,0,1,.000,0,0,,0,2,2,1,0,0,1,3,2,-6
Jaylen Nowell,13:41,4,6,.667,1,3,.333,2,3,.667,0,0,0,2,1,1,0,5,11,+3
Juan Hernangómez,9:30,2,4,.500,1,3,.333,0,0,,0,3,3,0,0,0,1,1,5,-6
Josh Okogie,7:07,0,3,.000,0,2,.000,0,0,,1,0,1,0,0,0,1,1,0,-4
