Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Malik Beasley,37:56,.500,.500,.667,.000,0.0,10.8,5.6,8.3,1.3,0.0,14.3,8.3,91,109,-4.6
Anthony Edwards,31:38,.470,.409,.545,.364,0.0,9.7,5.0,21.3,0.0,0.0,19.0,22.5,86,113,-5.6
Karl-Anthony Towns,31:23,.654,.583,.389,.333,7.0,42.3,25.2,31.8,1.6,7.6,12.7,34.0,119,93,15.1
Ricky Rubio,27:20,.676,.708,.417,.250,0.0,0.0,0.0,50.9,1.8,0.0,7.0,23.7,131,112,8.9
Jarred Vanderbilt,15:50,.500,.500,.000,.000,6.9,6.5,6.7,10.1,3.2,0.0,50.0,11.4,69,106,-9.1
Jaden McDaniels,21:40,.403,.357,.429,.143,5.0,14.1,9.7,0.0,0.0,0.0,11.8,17.6,77,111,-10.8
Jordan McLaughlin,20:40,.444,.444,.333,.000,5.3,14.8,10.2,53.5,0.0,0.0,10.0,21.9,108,111,-1.3
Naz Reid,16:37,.828,.750,.250,1.500,6.6,36.9,22.2,0.0,0.0,0.0,0.0,18.1,174,104,8.5
Jaylen Nowell,11:14,.000,.000,.333,.000,0.0,0.0,0.0,0.0,4.5,0.0,0.0,24.1,0,106,-24.8
Juan Hernangómez,10:30,1.017,1.000,1.000,.333,0.0,9.7,5.0,0.0,0.0,0.0,0.0,14.8,178,112,11.5
Josh Okogie,8:03,.333,.333,.333,.000,13.6,12.7,13.1,0.0,6.2,0.0,25.0,22.5,62,98,-10.7
Jake Layman,7:09,.000,.000,.000,.000,0.0,14.3,7.4,20.3,0.0,0.0,66.7,19.0,19,111,-20.4
