Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Malik Beasley,40:00,.725,.725,.550,.000,0.0,9.8,5.2,7.9,0.0,0.0,9.1,24.4,127,122,4.0
D'Angelo Russell,37:44,.343,.341,.273,.136,3.0,5.2,4.2,22.1,1.3,2.0,4.1,28.6,87,119,-8.9
Karl-Anthony Towns,37:00,.636,.588,.176,.353,18.3,18.6,18.4,16.3,0.0,6.2,13.3,27.1,127,114,5.7
Jarrett Culver,30:37,.644,.667,.000,.667,3.7,22.4,13.7,12.6,0.0,0.0,11.4,12.7,129,118,-2.1
Juan Hernangómez,22:39,.625,.625,.500,.000,5.0,26.0,16.2,0.0,0.0,0.0,20.0,9.8,103,117,-6.1
Ricky Rubio,33:32,.429,.429,.000,.000,3.4,11.7,7.8,29.2,0.0,0.0,22.2,11.9,109,122,-6.6
Anthony Edwards,30:16,.547,.500,.364,.182,0.0,13.0,6.9,17.8,0.0,0.0,20.2,21.8,99,121,-7.5
Naz Reid,16:00,.901,.938,.500,.250,7.0,36.8,23.0,11.8,0.0,14.4,18.4,30.2,130,102,21.5
Jarred Vanderbilt,12:14,1.000,1.000,.000,.000,0.0,16.0,8.6,9.9,0.0,0.0,50.0,7.3,101,120,-6.4
Jake Layman,4:55,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,125,-12.1
