Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Beasley,30:03,10,18,.556,4,9,.444,6,6,1.000,0,7,7,0,1,0,3,1,30,-17
Ricky Rubio,25:36,1,8,.125,0,1,.000,4,4,1.000,2,2,4,11,1,0,4,1,6,-24
Jarred Vanderbilt,24:35,5,8,.625,0,0,,2,2,1.000,4,1,5,2,2,2,2,3,12,-24
Naz Reid,24:02,5,16,.313,1,6,.167,0,0,,4,6,10,1,0,2,2,6,11,-11
Josh Okogie,16:51,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,2,0,-14
Anthony Edwards,27:13,4,13,.308,1,3,.333,6,7,.857,2,1,3,1,1,0,2,2,15,-10
Jaden McDaniels,25:42,3,9,.333,1,3,.333,0,2,.000,1,4,5,2,1,0,0,4,7,-7
Jordan McLaughlin,22:24,7,12,.583,1,2,.500,0,0,,0,2,2,5,1,0,2,2,15,+2
Jarrett Culver,14:43,0,2,.000,0,0,,4,4,1.000,0,1,1,0,0,0,1,2,4,+5
Jake Layman,13:32,2,4,.500,0,0,,0,0,,0,3,3,2,0,1,1,2,4,-10
Ed Davis,12:52,2,4,.500,0,0,,0,0,,3,4,7,1,0,0,0,3,4,+3
Ashton Hagans,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-3
