Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Karl-Anthony Towns,38:26,10,28,.357,5,12,.417,8,10,.800,2,8,10,1,2,1,1,1,33,0
Ricky Rubio,33:53,4,10,.400,1,5,.200,2,2,1.000,2,3,5,11,2,0,1,1,11,+5
Anthony Edwards,32:10,6,16,.375,2,7,.286,2,4,.500,1,1,2,3,1,0,2,1,16,-17
Jake Layman,16:37,3,7,.429,0,2,.000,0,0,,2,4,6,2,0,0,0,0,6,-10
Jarred Vanderbilt,16:21,0,0,,0,0,,0,0,,1,3,4,1,2,1,0,1,0,-9
Jaylen Nowell,28:07,6,12,.500,2,5,.400,0,0,,0,1,1,3,0,1,1,2,14,-2
Josh Okogie,21:03,3,5,.600,1,2,.500,0,0,,1,2,3,0,4,0,2,5,7,+13
Naz Reid,15:22,3,4,.750,2,3,.667,1,2,.500,0,5,5,1,0,0,3,0,9,-12
Jaden McDaniels,14:55,1,5,.200,0,1,.000,0,0,,1,0,1,1,0,1,1,3,2,-14
Juan Hernangómez,14:50,2,4,.500,1,1,1.000,0,0,,1,3,4,1,0,0,1,1,5,+5
Jarrett Culver,8:13,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-4
