Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaden McDaniels,35:55,.700,.700,.400,.000,3.3,3.3,3.3,4.8,0.0,2.5,0.0,12.3,141,140,-4.2
Anthony Edwards,34:07,.579,.568,.409,.136,3.4,10.6,6.9,13.7,1.5,0.0,4.1,31.6,114,137,-1.6
Karl-Anthony Towns,33:10,.829,.727,.273,1.091,17.6,36.2,26.8,22.4,0.0,5.5,19.7,27.1,144,131,7.6
Malik Beasley,29:42,.364,.324,.706,.118,3.9,12.1,8.0,16.4,3.4,0.0,5.3,28.2,85,132,-9.3
Ricky Rubio,26:34,.368,.300,.800,.200,0.0,18.1,8.9,52.8,5.6,3.4,26.9,12.4,107,123,0.1
Jaylen Nowell,22:42,.455,.389,.556,.222,5.2,5.3,5.2,14.3,0.0,0.0,9.2,21.2,99,141,-11.5
Juan Hernangómez,17:10,.678,.625,.500,1.500,0.0,35.0,17.3,0.0,0.0,0.0,0.0,17.1,140,135,-3.8
Jordan McLaughlin,16:22,,,,,0.0,7.3,3.6,32.6,6.1,0.0,100.0,5.4,75,127,-8.2
Naz Reid,11:07,.205,.250,.000,.500,10.5,10.8,10.7,0.0,0.0,16.3,0.0,19.5,57,128,-14.6
Jake Layman,5:07,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,142,-13.4
Jarrett Culver,4:21,.500,.500,.500,.000,0.0,27.6,13.6,0.0,0.0,0.0,0.0,20.4,98,137,-10.0
Jarred Vanderbilt,3:43,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0,142,-29.1
