Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Edwards,38:12,.561,.476,.333,.524,5.4,18.7,12.1,23.4,0.0,2.5,18.8,32.5,103,123,-4.1
Karl-Anthony Towns,36:43,.622,.526,.474,.421,2.8,36.1,19.6,11.9,3.6,0.0,15.1,28.1,112,111,2.1
Jaden McDaniels,34:32,.868,.750,1.000,1.000,3.0,11.8,7.5,0.0,2.6,0.0,25.8,4.4,132,119,-6.1
Ricky Rubio,32:14,.619,.563,.500,.250,3.2,6.3,4.8,27.8,8.3,0.0,10.1,11.9,138,109,7.3
Josh Okogie,17:02,.515,.333,.000,.667,6.1,0.0,3.0,20.8,2.6,0.0,0.0,8.9,146,123,0.6
D'Angelo Russell,33:16,.379,.386,.545,.045,0.0,6.1,3.1,49.7,2.7,0.0,15.1,31.0,87,121,-8.2
Naz Reid,22:12,.612,.654,.462,.154,9.4,13.8,11.6,0.0,2.0,8.5,0.0,24.4,120,115,0.1
Juan Hernangómez,21:11,.504,.500,.615,.154,9.8,4.8,7.3,14.1,2.1,4.5,0.0,25.5,115,121,3.4
Jarred Vanderbilt,17:30,.922,1.000,.000,.500,17.8,29.1,23.5,8.4,2.6,5.4,0.0,10.9,194,112,9.6
Jordan McLaughlin,12:08,1.000,1.000,.000,.000,0.0,8.4,4.2,20.0,0.0,0.0,0.0,3.2,214,127,-3.9
