Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,38:12,9,21,.429,2,7,.286,9,11,.818,2,7,9,6,0,1,6,3,29,-8
Karl-Anthony Towns,36:43,8,19,.421,4,9,.444,8,8,1.000,1,13,14,3,3,0,4,6,28,-6
Jaden McDaniels,34:32,1,2,.500,1,2,.500,2,2,1.000,1,4,5,0,2,0,1,6,5,+10
Ricky Rubio,32:14,4,8,.500,1,4,.250,2,2,1.000,1,2,3,7,6,0,1,2,11,-4
Josh Okogie,17:02,1,3,.333,0,0,,2,2,1.000,1,0,1,3,1,0,0,1,4,+6
D'Angelo Russell,33:16,8,22,.364,1,12,.083,0,1,.000,0,2,2,11,2,0,4,3,17,-10
Naz Reid,22:12,7,13,.538,3,6,.500,0,2,.000,2,3,5,0,1,2,0,6,17,-2
Juan Hernangómez,21:11,5,13,.385,3,8,.375,1,2,.500,2,1,3,2,1,1,0,0,14,+3
Jarred Vanderbilt,17:30,4,4,1.000,0,0,,1,2,.500,3,5,8,1,1,1,0,3,9,-9
Jordan McLaughlin,12:08,1,1,1.000,0,0,,0,0,,0,1,1,2,0,0,0,0,2,0
