Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandon Ingram,42:11,.574,.519,.333,.222,0.0,18.3,8.6,25.2,4.3,0.0,9.2,32.4,108,98,8.3
Eric Bledsoe,33:33,.515,.333,.333,.667,0.0,16.5,7.7,4.3,1.4,2.3,20.5,12.2,88,102,-6.1
Zion Williamson,31:17,.509,.500,.000,.333,6.3,14.1,10.0,0.0,1.5,2.5,25.3,37.0,74,101,-11.7
Steven Adams,29:39,1.087,1.000,.000,4.000,6.6,37.2,21.0,18.7,0.0,5.2,0.0,3.9,228,100,7.9
Lonzo Ball,19:46,.200,.200,.700,.000,0.0,11.2,5.3,23.2,2.3,7.8,0.0,21.2,57,95,-4.6
Naji Marshall,33:22,.633,.500,.500,.600,2.9,33.1,17.1,28.3,2.7,0.0,7.3,17.1,134,100,8.7
James Johnson,25:40,.557,.556,.222,.222,0.0,8.6,4.0,20.9,0.0,0.0,16.8,19.4,96,107,-4.5
Willy Hernangómez,20:28,.444,.444,.000,.000,24.0,27.0,25.4,8.7,2.2,3.8,0.0,18.4,115,98,-0.3
Kira Lewis,19:27,.311,.250,.500,.167,0.0,0.0,0.0,14.6,2.4,0.0,0.0,13.9,80,103,-7.3
Jaxson Hayes,9:26,.543,.000,.000,4.000,10.4,0.0,5.5,14.0,0.0,0.0,0.0,12.3,140,107,-3.9
Wesley Iwundu,0:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108,-7.2
