Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,38:00,13,23,.565,0,0,,7,13,.538,5,9,14,2,0,0,2,3,33,-2
Brandon Ingram,34:57,9,21,.429,1,5,.200,5,6,.833,0,6,6,6,0,0,4,3,24,-6
Lonzo Ball,34:19,9,16,.563,6,10,.600,0,0,,0,2,2,4,2,0,4,2,24,-1
Steven Adams,31:52,2,3,.667,0,0,,0,2,.000,4,6,10,1,3,0,3,2,4,-2
Eric Bledsoe,22:40,2,6,.333,0,2,.000,2,5,.400,0,3,3,3,3,0,2,4,6,-6
Naji Marshall,32:22,2,5,.400,1,3,.333,1,4,.250,0,6,6,2,1,0,2,4,6,+2
Kira Lewis,16:36,2,6,.333,1,2,.500,0,0,,0,1,1,2,2,1,1,1,5,+2
Jaxson Hayes,13:55,2,7,.286,0,0,,2,2,1.000,1,3,4,0,1,0,0,0,6,-1
Wesley Iwundu,10:27,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,4,0,+2
Willy Hernangómez,4:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,+2
