Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,28:49,9,13,.692,0,0,,2,6,.333,1,1,2,0,1,0,1,1,20,-27
Brandon Ingram,28:14,6,11,.545,1,5,.200,0,0,,0,6,6,6,1,0,4,0,13,-25
Eric Bledsoe,24:12,3,5,.600,0,2,.000,1,1,1.000,0,0,0,2,1,0,0,0,7,-18
Steven Adams,23:10,5,5,1.000,0,0,,1,2,.500,3,5,8,1,0,1,4,1,11,-15
Lonzo Ball,23:05,3,12,.250,1,7,.143,0,0,,0,0,0,1,0,0,3,2,7,-22
Josh Hart,21:56,1,2,.500,0,1,.000,1,2,.500,0,6,6,0,0,0,0,1,3,-20
Nickeil Alexander-Walker,21:31,4,10,.400,0,1,.000,3,3,1.000,0,0,0,4,1,0,1,4,11,-9
J.J. Redick,17:34,1,5,.200,0,2,.000,0,0,,0,1,1,0,1,0,1,3,2,-11
Nicolò Melli,15:41,2,4,.500,1,3,.333,0,0,,1,7,8,1,0,0,2,2,5,+2
Jaxson Hayes,11:46,0,0,,0,0,,0,0,,2,4,6,1,1,2,0,0,0,-14
Kira Lewis,9:38,2,7,.286,0,2,.000,0,0,,0,0,0,1,1,0,0,0,4,+10
Sindarius Thornwell,7:17,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,0,2,+12
Willy Hernangómez,7:07,0,1,.000,0,0,,1,4,.250,0,4,4,1,0,0,0,0,1,+12
