Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandon Ingram,38:02,.466,.368,.474,.421,0.0,19.1,9.0,15.1,1.4,0.0,11.8,30.8,96,140,-10.9
Zion Williamson,36:54,.703,.667,.056,.333,3.5,11.8,7.4,10.2,1.4,0.0,8.8,28.2,131,141,-1.8
Lonzo Ball,33:56,.691,.615,.769,.385,7.6,12.9,10.1,30.5,3.0,0.0,6.2,21.9,150,137,8.5
Steven Adams,21:44,.615,.500,.000,.500,23.9,13.4,18.9,11.4,4.7,0.0,29.1,7.3,145,133,-0.5
Eric Bledsoe,17:09,.500,.500,.600,.000,0.0,17.0,8.0,23.7,0.0,0.0,28.6,18.8,89,144,-11.6
Josh Hart,27:06,.667,.667,.833,.000,0.0,32.2,15.2,14.9,3.8,0.0,25.0,13.6,107,132,-1.0
Kira Lewis,23:45,.799,.857,.429,.571,5.5,6.1,5.8,26.2,4.3,0.0,0.0,17.0,170,135,9.3
J.J. Redick,18:20,.750,.750,.750,.000,0.0,7.9,3.7,7.3,2.8,0.0,20.0,12.5,115,138,-3.9
Willy Hernangómez,14:00,.765,.800,.200,.400,9.3,20.8,14.7,0.0,0.0,10.1,0.0,19.3,154,138,2.0
Nickeil Alexander-Walker,9:04,.000,.000,.500,.000,0.0,16.0,7.6,12.9,0.0,0.0,0.0,10.1,37,144,-17.3
