Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Ingram,42:32,11,22,.500,5,12,.417,6,6,1.000,1,5,6,3,0,0,2,3,33,+2
Zion Williamson,39:48,11,21,.524,0,1,.000,6,10,.600,5,5,10,4,0,1,3,2,28,0
Lonzo Ball,38:38,5,11,.455,3,6,.500,3,4,.750,0,6,6,4,2,0,6,3,16,+6
Eric Bledsoe,24:43,3,6,.500,0,1,.000,2,3,.667,0,1,1,3,0,1,1,2,8,0
Willy Hernangómez,22:32,3,10,.300,0,0,,0,3,.000,5,8,13,2,0,1,1,2,6,-9
Josh Hart,36:42,5,10,.500,2,5,.400,5,7,.714,1,9,10,0,1,3,0,4,17,+18
J.J. Redick,17:52,1,4,.250,0,3,.000,2,2,1.000,0,1,1,3,0,0,0,3,4,-3
Nicolò Melli,17:00,1,7,.143,1,7,.143,0,0,,0,3,3,0,2,0,0,3,3,+18
Jaxson Hayes,13:28,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,1,0,0,3,-4
Kira Lewis,6:50,0,0,,0,0,,0,0,,0,0,0,3,0,0,0,0,0,-7
Nickeil Alexander-Walker,4:55,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,2,2,+4
