Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Lonzo Ball,35:20,.464,.464,.571,.000,3.1,8.9,6.0,19.3,0.0,6.3,0.0,16.4,117,122,-2.3
Brandon Ingram,35:20,.669,.588,.471,.824,0.0,17.7,9.1,22.5,0.0,3.2,11.5,30.7,128,121,6.0
Zion Williamson,32:46,.640,.583,.000,.833,6.7,15.9,11.4,5.9,0.0,3.4,15.5,24.6,115,122,-3.6
Steven Adams,31:24,.618,.571,.000,1.143,13.9,19.9,17.0,5.3,3.1,0.0,22.2,17.9,111,115,-3.4
Eric Bledsoe,31:16,.649,.583,.500,.500,7.0,10.0,8.5,56.2,1.6,3.6,0.0,19.4,164,120,13.7
Josh Hart,25:50,.507,.500,.875,.250,4.2,24.2,14.5,12.6,1.9,4.3,18.4,17.5,96,114,-4.1
J.J. Redick,21:14,.470,.250,.750,.750,0.0,9.8,5.0,20.7,0.0,0.0,0.0,10.4,133,125,-4.0
Jaxson Hayes,16:36,.630,.333,.000,1.333,26.3,25.1,25.7,0.0,3.0,0.0,0.0,11.9,167,114,-1.5
Nickeil Alexander-Walker,6:36,.300,.300,1.000,.000,0.0,0.0,0.0,26.2,7.4,16.9,16.7,37.7,65,101,-4.8
Nicolò Melli,3:38,.000,.000,1.000,.000,0.0,28.7,14.7,0.0,0.0,0.0,0.0,11.4,0,120,-18.4
