Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Ingram,35:20,8,17,.471,4,8,.500,11,14,.786,0,6,6,4,0,1,3,2,31,+3
Lonzo Ball,35:20,5,14,.357,3,8,.375,0,0,,1,3,4,4,0,2,0,3,13,+3
Zion Williamson,32:46,7,12,.583,0,0,,7,10,.700,2,5,7,1,0,1,3,2,21,+8
Steven Adams,31:24,4,7,.571,0,0,,5,8,.625,4,6,10,1,2,0,3,2,13,+4
Eric Bledsoe,31:16,5,12,.417,4,6,.667,5,6,.833,2,3,5,10,1,1,0,3,19,+15
Josh Hart,25:50,3,8,.375,2,7,.286,1,2,.500,1,6,7,2,1,1,2,2,9,-9
J.J. Redick,21:14,1,4,.250,0,3,.000,3,3,1.000,0,2,2,3,0,0,0,0,5,+3
Jaxson Hayes,16:36,1,3,.333,0,0,,4,4,1.000,4,4,8,0,1,0,0,3,6,0
Nickeil Alexander-Walker,6:36,1,5,.200,1,5,.200,0,0,,0,0,0,1,1,1,1,1,3,-8
Nicolò Melli,3:38,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+1
