Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandon Ingram,36:27,.568,.523,.409,.455,3.5,18.8,10.8,8.0,1.3,0.0,15.9,36.7,99,128,-7.4
Lonzo Ball,35:16,.688,.688,.875,.000,3.6,7.8,5.6,57.1,2.7,0.0,20.0,12.1,156,126,10.7
Zion Williamson,32:37,.713,.647,.000,.353,11.6,8.4,10.1,39.5,1.5,0.0,9.2,28.2,148,129,9.8
Eric Bledsoe,26:52,.511,.444,.333,.444,0.0,20.4,9.8,13.2,0.0,0.0,8.5,18.6,110,131,-9.4
Steven Adams,25:10,.500,.500,.000,.000,20.1,5.4,13.1,9.0,1.9,0.0,33.3,10.1,109,128,-7.7
Josh Hart,28:27,.615,.615,.385,.000,4.4,38.6,20.8,9.9,1.7,5.6,7.1,20.9,118,122,2.1
Nickeil Alexander-Walker,24:40,.769,.769,.692,.000,0.0,27.8,13.3,6.0,2.0,6.5,18.8,27.6,106,122,5.5
Jaxson Hayes,18:52,1.000,1.000,.000,.000,0.0,21.8,10.5,6.2,0.0,8.5,0.0,4.5,208,126,-2.9
Kira Lewis,9:18,,,,,0.0,0.0,0.0,22.4,5.2,0.0,,0.0,235,120,2.2
Willy Hernangómez,2:21,,,,,0.0,58.4,28.0,0.0,0.0,0.0,,0.0,0,128,-12.2
