Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Ingram,34:09,14,21,.667,4,6,.667,4,4,1.000,0,3,3,4,0,0,1,3,36,+15
Nickeil Alexander-Walker,34:05,7,14,.500,3,9,.333,1,2,.500,1,6,7,3,1,0,4,4,18,+20
Eric Bledsoe,33:28,1,8,.125,0,3,.000,0,0,,1,3,4,2,1,0,2,1,2,+12
Zion Williamson,28:58,9,13,.692,0,0,,9,10,.900,2,7,9,5,1,0,1,3,27,+25
Steven Adams,25:36,6,6,1.000,0,0,,0,0,,1,6,7,0,0,1,1,3,12,+14
Josh Hart,26:39,1,9,.111,0,4,.000,0,0,,4,11,15,5,5,0,0,1,2,+12
Kira Lewis,20:11,5,9,.556,3,5,.600,3,3,1.000,0,1,1,6,0,2,0,2,16,+21
Jaxson Hayes,19:08,4,6,.667,0,0,,7,7,1.000,1,4,5,2,1,0,1,4,15,+13
Nicolò Melli,8:45,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-20
Naji Marshall,3:16,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-10
Will Magnay,3:16,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-10
Wenyen Gabriel,2:29,0,0,,0,0,,0,0,,1,0,1,1,0,0,2,1,0,-7
