Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Lonzo Ball,37:38,.194,.194,.500,.000,2.8,19.6,10.5,29.0,2.5,0.0,18.2,23.4,57,118,-11.2
Zion Williamson,36:52,.555,.500,.083,.458,11.3,13.4,12.3,5.6,0.0,5.9,12.2,35.6,107,120,3.1
Brandon Ingram,35:18,.654,.500,.364,.727,0.0,7.0,3.2,16.9,0.0,0.0,12.1,18.7,129,125,0.7
Eric Bledsoe,32:45,.661,.643,.286,.429,3.2,15.0,8.6,17.7,1.4,3.3,10.7,11.4,133,119,4.6
Willy Hernangómez,25:07,.850,.800,.000,.400,0.0,34.3,15.7,6.1,0.0,4.3,0.0,9.4,178,119,5.9
Naji Marshall,27:20,.872,.833,.667,.333,0.0,27.0,12.4,5.5,1.7,0.0,12.7,11.5,152,119,5.7
James Johnson,16:16,.300,.300,.300,.000,12.8,22.7,17.4,0.0,0.0,0.0,9.1,27.0,69,123,-17.9
Jaxson Hayes,14:12,.922,1.000,.000,.500,14.7,17.3,15.9,0.0,3.3,0.0,38.1,22.2,102,116,1.1
Kira Lewis,7:05,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0,126,-13.3
Wenyen Gabriel,2:29,.174,.000,.500,1.000,42.0,0.0,22.7,0.0,18.8,0.0,0.0,46.4,63,82,-5.6
James Nunnally,2:29,.568,,,,42.0,0.0,22.7,0.0,0.0,0.0,0.0,14.2,147,126,3.5
Wesley Iwundu,2:29,.000,.000,.000,.000,42.0,0.0,22.7,49.6,0.0,0.0,0.0,32.2,56,126,-13.7
